time,value
2024-02-14T17:53:49.806991347Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 166"
2024-02-14T17:53:51.647021391Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 165"
2024-02-14T17:53:52.486887841Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 163"
2024-02-14T17:53:54.402158148Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 162"
2024-02-14T17:53:55.337089958Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 163"
2024-02-14T17:53:56.252027624Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 172"
2024-02-14T17:53:56.977037914Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 190"
2024-02-14T17:53:57.68715338Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 149"
2024-02-14T17:53:58.372264138Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 154"
2024-02-14T17:53:59.052581753Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 128"
2024-02-14T17:53:59.742191879Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 127"
2024-02-14T17:54:00.517078674Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 128"
2024-02-14T17:54:01.21196682Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 129"
2024-02-14T17:54:01.957233983Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 130"
2024-02-14T17:54:02.917056279Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 132"
2024-02-14T17:54:03.636835178Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 130"
2024-02-14T17:54:04.356990916Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 132"
2024-02-14T17:54:04.417234509Z,"'"
2024-02-14T17:54:05.06727999Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 130"
2024-02-14T17:54:05.761820368Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 130"
2024-02-14T17:54:06.936948774Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 132"
2024-02-14T17:54:07.77736609Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 130"
2024-02-14T17:54:09.366813139Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 129"
2024-02-14T17:54:10.077216136Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 130"
2024-02-14T17:54:11.006955428Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 132"
2024-02-14T17:54:11.696943584Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 158"
2024-02-14T17:54:12.41700775Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 144"
2024-02-14T17:54:13.131839463Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 232"
2024-02-14T17:54:13.881877388Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 154"
2024-02-14T17:54:14.61199026Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 138"
2024-02-14T17:54:15.337072512Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 144"
2024-02-14T17:54:16.067013957Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 168"
2024-02-14T17:54:16.747479956Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 186"
2024-02-14T17:54:17.456902835Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 157"
2024-02-14T17:54:18.152098256Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 151"
2024-02-14T17:54:18.882151107Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 161"
2024-02-14T17:54:19.642012432Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 162"
2024-02-14T17:54:20.357073156Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 198"
2024-02-14T17:54:21.5722903Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 135"
2024-02-14T17:54:22.517154524Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 130"
2024-02-14T17:54:23.21710273Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 129"
2024-02-14T17:54:23.906823588Z,"'Temperature = 17.40  Humidity = 58.00  Air Quality = 133"
2024-02-14T17:54:24.59702849Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 133"
2024-02-14T17:54:25.312303833Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 134"
2024-02-14T17:54:26.027600755Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 135"
2024-02-14T17:54:26.737231609Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 139"
2024-02-14T17:54:27.632123199Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 136"
2024-02-14T17:54:28.387004609Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 135"
2024-02-14T17:54:29.232039769Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 126"
2024-02-14T17:54:29.937024151Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 187"
2024-02-14T17:54:30.65701723Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 172"
2024-02-14T17:54:31.363138852Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 181"
2024-02-14T17:54:32.057125242Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 169"
2024-02-14T17:54:32.767024508Z,"'Temperature = 17.40  Humidity = 57.00  Air Quality = 176"
2024-02-14T17:54:33.482220233Z,"'Temperature = 18.50  Humidity = 79.00  Air Quality = 160"
2024-02-14T17:54:34.337161901Z,"'Temperature = 18.50  Humidity = 79.00  Air Quality = 123"
